,status,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
0,1,0,4,0,0.529411765,0.470588235,0.529411765,0,1,-1,0,1,4,37,19,7,0,0.0,0.0
1,0,1,4,0,0.966666667,0.033333333,0.966666667,0,0,5767,0,1,2,77,23,7,0,0.22077922077922077,0.22077922077922077
2,0,1,12,0,1.0,0.0,1.0,0,0,4004,5828815,1,0,126,50,19,1,0.15079365079365079,0.15079365079365079
3,1,1,1,0,0.973154362,0.026845638,0.973154362,0,0,-1,107721,0,3,18,11,5,0,0.0,0.0
4,1,1,6,0,0.470588235,0.529411765,0.470588235,0,1,8175,8725,0,6,55,15,10,0,0.0,0.0
5,0,1,4,0,0.3,0.7,0.3,0,1,-1,0,1,0,32,24,8,0,0.0,0.0
6,1,1,2,0,0.081632653,0.918367347,0.081632653,1,1,7529,0,0,1,19,12,5,0,0.0,0.0
7,0,1,5,0,0.966666667,0.033333333,0.966666667,0,0,5767,0,1,2,81,27,8,0,0.25925925925925924,0.25925925925925924
8,1,0,2,0,0.206349206,0.793650794,0.206349206,1,1,7298,0,0,5,42,34,6,0,0.0,0.0
9,1,0,14,1,0.778571429,0.221428571,0.778571429,1,0,9368,6774,0,5,104,10,18,1,0.07692307692307693,0.07692307692307693
10,1,0,6,0,1.0,0.0,1.0,0,1,-1,1627089,0,2,56,22,9,1,0.0,0.0
11,1,0,6,0,0.931818182,0.068181818,0.931818182,0,0,7911,944,0,6,43,16,9,1,0.18604651162790697,0.18604651162790697
12,1,0,11,0,0.775384615,0.224615385,0.775384615,0,1,1505,158942,0,4,83,14,15,1,0.012048192771084338,0.012048192771084338
13,0,1,3,0,1.0,0.0,1.0,0,0,1761,1173197,1,4,31,10,6,0,0.06451612903225806,0.06451612903225806
14,1,0,2,0,0.933649289,0.066350711,0.933649289,1,0,2041,4297684,0,2,25,16,6,1,0.0,0.0
15,0,1,5,0,1.0,0.0,1.0,0,0,3892,0,0,4,51,23,10,0,0.0196078431372549,0.0196078431372549
16,1,0,2,0,0.96,0.04,0.96,0,1,8301,99386,0,4,31,22,6,1,0.0,0.0
17,0,1,5,0,1.0,0.0,1.0,0,1,2316,0,1,0,50,21,8,0,0.06,0.06
18,0,0,3,0,0.0,0.0,0.0,0,0,2935,0,1,0,34,23,7,0,0.0,0.0
19,1,1,2,0,0.97716895,0.02283105,0.97716895,0,1,3932,927214,0,2,27,19,6,0,0.14814814814814814,0.14814814814814814
20,1,1,8,0,0.884353741,0.115646259,0.884353741,1,1,8759,26017,0,5,63,14,13,0,0.0,0.0
21,1,0,8,0,0.818181818,0.181818182,0.818181818,0,0,5647,1040,0,6,66,16,11,1,0.0,0.0
22,0,0,5,0,0.923076923,0.076923077,0.923076923,0,1,1184,0,1,0,40,11,8,0,0.1,0.1
23,1,1,6,0,0.915254237,0.084745763,0.915254237,0,1,3476,4672316,0,4,48,16,9,0,0.0,0.0
24,0,1,13,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,126,50,18,0,0.09523809523809523,0.09523809523809523
25,0,0,2,0,0.285714286,0.714285714,0.285714286,1,0,7296,0,1,5,41,32,6,1,0.0,0.0
26,1,0,2,0,0.973913043,0.026086957,0.973913043,0,1,6989,2203390,0,4,36,27,6,1,0.0,0.0
27,1,1,11,0,0.647058824,0.352941176,0.647058824,1,1,4845,5964,0,5,72,24,15,0,0.0,0.0
28,0,1,6,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,68,42,9,0,0.16176470588235295,0.16176470588235295
29,0,0,17,1,0.483870968,0.516129032,0.483870968,1,1,-1,0,1,0,163,14,23,0,0.3987730061349693,0.3987730061349693
30,1,0,2,0,0.947368421,0.052631579,0.947368421,0,0,1170,390047,0,4,26,18,6,0,0.0,0.0
31,0,1,4,0,0.388888889,0.611111111,0.388888889,1,1,1237,0,1,1,64,17,7,0,0.34375,0.34375
32,0,0,4,0,0.19047619,0.80952381,0.19047619,1,1,5627,0,1,5,36,28,8,0,0.25,0.25
33,0,0,7,0,0.0,1.0,0.0,0,0,3767,9264543,1,0,61,14,10,0,0.0,0.0
