,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
7529,0,4,0,0.969072165,0.030927835,0.969072165,0,1,11039,178542,0,5,35,11,7,1,0.0,0.0
11221,0,1,0,0.779761905,0.220238095,0.779761905,1,1,-1,0,0,2,22,15,5,0,0.0,0.0
4889,0,6,0,0.557692308,0.442307692,0.557692308,1,1,5636,2,0,10,43,15,9,1,0.0,0.0
8962,1,2,0,0.58974359,0.41025641,0.58974359,1,0,1938,2636665,0,4,26,18,6,0,0.15384615384615385,0.15384615384615385
4004,0,8,2,1.0,0.0,1.0,0,0,1853,0,1,2,62,13,13,0,0.016129032258064516,0.016129032258064516
3265,0,3,0,0.908536585,0.091463415,0.908536585,1,1,-1,53863,0,5,38,19,7,1,0.0,0.0
11235,1,13,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,126,50,18,0,0.15079365079365079,0.15079365079365079
8897,0,1,0,0.0,0.0,0.0,0,0,-1,9161487,0,0,20,13,5,0,0.0,0.0
900,1,7,0,0.988235294,0.011764706,0.988235294,0,1,8554,9753,0,5,54,13,10,0,0.1111111111111111,0.1111111111111111
7856,0,3,0,0.816666667,0.183333333,0.816666667,0,0,5160,0,0,8,42,29,9,1,0.0,0.0
3936,0,2,0,0.209459459,0.790540541,0.209459459,1,1,7772,0,0,6,28,19,6,1,0.03571428571428571,0.03571428571428571
11049,0,4,0,1.0,0.0,1.0,0,1,0,0,1,0,46,16,7,0,0.0,0.0
5551,1,6,0,0.625,0.375,0.625,1,0,8147,12601,0,6,50,17,9,0,0.0,0.0
1393,1,2,0,0.923566879,0.076433121,0.923566879,1,1,4624,343636,0,4,27,19,6,0,0.0,0.0
8847,1,7,0,0.854545455,0.145454545,0.854545455,1,1,2388,1625,1,6,56,16,10,0,0.0,0.0
11018,1,4,0,0.0,0.0,0.0,0,0,4633,8237707,1,0,35,19,7,0,0.0,0.0
1662,0,3,0,0.071428571,0.928571429,0.071428571,1,0,7297,0,1,5,33,25,6,1,0.030303030303030304,0.030303030303030304
10297,1,6,0,0.938053097,0.061946903,0.938053097,1,0,1675,70853,0,4,43,16,9,0,0.0,0.0
6196,0,7,0,0.884615385,0.115384615,0.884615385,1,1,1,0,1,0,55,33,11,1,0.0,0.0
3834,0,2,0,0.0,0.0,0.0,0,0,70,4299359,1,0,26,18,6,0,0.07692307692307693,0.07692307692307693
7921,1,8,0,0.0,0.0,0.0,0,1,5985,269852,0,4,54,14,12,0,0.1111111111111111,0.1111111111111111
9141,1,3,0,0.960526316,0.039473684,0.960526316,0,0,5779,5832,0,5,35,13,6,0,0.0,0.0
7342,0,5,0,0.0,0.0,0.0,0,0,667,0,1,0,60,24,8,0,0.16666666666666666,0.16666666666666666
5865,0,8,2,0.133333333,0.866666667,0.133333333,1,0,2295,0,1,0,79,26,12,0,0.0,0.0
9680,1,4,1,0.76,0.24,0.76,0,0,3777,6328,0,7,30,13,7,1,0.0,0.0
9495,0,10,1,0.9,0.1,0.9,0,0,-1,0,0,0,29,13,8,0,0.3448275862068966,0.3448275862068966
747,0,2,0,0.644067797,0.355932203,0.644067797,0,1,7951,14198,0,3,21,9,7,1,0.0,0.0
